,Name,DOB,Location
0,Albert-Einstein,"March 14, 1879","Ulm, Germany"
1,Allen-Saunders,"April 24, 1899",The United States
2,AndrÃ©-Gide,,
3,Bob-Marley,"February 06, 1945","Nine Mile, Saint Ann, Jamaica"
4,Charles-M-Schulz,"November 26, 1922","Minneapolis, MN, The United States"
5,Douglas-Adams,"March 11, 1952","Cambridge, England, The United Kingdom"
6,Dr-Seuss,"March 02, 1904","Springfield, MA, The United States"
7,Eleanor-Roosevelt,"October 11, 1884",The United States
8,Elie-Wiesel,"September 30, 1928","Sighet, Romania"
9,Friedrich-Nietzsche,"October 15, 1844","Röcken bei Lützen, Prussian Province of Saxony, Germany"
10,Garrison-Keillor,"August 07, 1942","Anoka, Minnesota, The United States"
11,George-Eliot,"November 22, 1819","South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom"
12,Jane-Austen,"December 16, 1775","Steventon Rectory, Hampshire, The United Kingdom"
13,Jim-Henson,"September 24, 1936","Greenville, Mississippi, The United States"
14,J-K-Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom"
15,Jorge-Luis-Borges,"August 24, 1899","Buenos Aires, Argentina"
16,Marilyn-Monroe,"June 01, 1926",The United States
17,Mark-Twain,"November 30, 1835","Florida, Missouri, The United States"
18,Mother-Teresa,"August 26, 1910","Skopje, Macedonia, the Former Yugoslav Republic of"
19,Pablo-Neruda,"July 12, 1904","Parral, Chile"
20,Ralph-Waldo-Emerson,"May 25, 1803","Boston, Massachusetts, The United States"
21,Steve-Martin,"August 14, 1945","Waco, Texas, The United States"
22,Thomas-A-Edison,"February 11, 1847","Milan, Ohio, The United States"
23,William-Nicholson,"January 12, 1948","Lewes, Sussex, The United Kingdom"
